n_observations,mean_price,std_price,min_price,max_price,adf_statistic,adf_pvalue,adf_stationary,kpss_statistic,kpss_pvalue,kpss_stationary,hurst_exponent,hurst_mean_reverting,half_life,half_life_reasonable,acf_lag1,token_id,question,volatility
744,0.0954771505376344,0.006942119725931439,0.075,0.105,-2.4584893528027068,0.12590367560616794,False,2.642076746712258,0.01,False,0.9587471673518552,False,13.400147914455316,True,0.9458750087505289,32701718299480152694441167155024693623658675577469293314015974008998972377625,Will Mamdani pass the 2% Millionaire Tax before 2027?,43.21
162,0.7984567901234569,0.09405849892129003,0.26,0.885,-6.4982836223428855,1.1792061142891914e-08,True,0.5047814862093957,0.04058975535824422,False,0.9942722756161363,False,5.441582571260291,True,0.8726175956809971,27317168913038862638511498110536244347387854028485979359185236924713398325828,Will Morgan Stanley or any of its underwriting affiliates serve as the lead underwriter in SpaceX’s initial public offering?,28.74
137,0.4341605839416059,0.05690807462323116,0.185,0.59,-5.004576196657094,2.1734963970629826e-05,True,0.3710869096598129,0.08961771135352893,True,0.8859519577860695,False,2.234640115013677,True,0.6894875780062548,54393920537514140480129032575334060881130841327524939366867672655564188304981,Will Stephen Colbert be named in newly released Epstein files by March 31?,37.05
744,0.9657049731182796,0.019346913968558525,0.935,0.9915,-0.24305216344749317,0.9331915503643482,False,3.7755550071214268,0.01,False,0.8698720398137114,False,774.7717362081738,False,0.9968954134122217,62553349979566496482940945205913747603796814089470596730050816053019691753805,Will Teyana Taylor be nominated for Best Supporting Actress at the 98th Academy Awards?,18.34
744,0.886491935483871,0.004106111301139202,0.88,0.895,-0.35136001034059083,0.9179086597748981,False,3.699823526445428,0.01,False,0.9189771178429258,False,46.84252841604378,True,0.9818856227686417,5210147086444382339849101722545511095151948730486562412029285471203011774407,Will the Democrats win the Minnesota Senate race in 2026?,15.18
744,0.24016801075268818,0.07513298245083096,0.13,0.595,-4.373781778772349,0.00033020346925473435,True,1.8193365981684104,0.01,False,0.9335332120450226,False,35.30775362482679,True,0.9777738782277836,21820831062008538748141247411218227574369608245896609859008771625480147552641,"Ukraine election called by March 31, 2026?",23.67
235,0.5025531914893617,0.005522905921197256,0.49,0.515,-0.9590628099077888,0.7679009714107465,False,1.0214670113153677,0.01,False,0.8696774982558365,False,22.873856958478193,True,0.9486305046639257,9607569181854960598176506199462903356379518667846155862297009904553986207588,WD-40 Company (WDFC) Up or Down After Earnings?,18.55
133,0.20754135338345867,0.22700569736410212,0.0155,0.5,-1.229086159550772,0.6609601300761212,False,1.611723553726429,0.01,False,0.823219597402645,False,36.76508000458865,True,0.9757660055617612,42939981688349061268333432813952075168768616117092661372077156499295424426730,Will Apple (AAPL) close above $330 end of January?,44.26
744,0.4300067204301076,0.04646690587862068,0.345,0.645,-0.7809058985477951,0.824666576285122,False,2.439753373211756,0.01,False,0.8949596515554895,False,6.433915648316876,True,0.8821300938717442,32525717559923218687592686736679202480264148973892124810901742852653700712203,Will Yngvill Kolset Haga & Avy Kaufman (Sentimental Value) be nominated for Achievement in Casting at the 98th Academy Awards?,45.5
397,0.7291057934508816,0.03930144294192693,0.495,0.77,-1.558819037658033,0.5042400788035641,False,1.7672134062666047,0.01,False,0.8901980951494137,False,8.580871445762194,True,0.9190329561478152,1906368150829335819562722707486252746541412478841929346643717864795046549074,Next Thai Prime Minister Chosen by March 31?,10.54
236,0.19317796610169494,0.05559259055554811,0.135,0.53,-1.1599545436339405,0.6905808158127795,False,0.9240593430702772,0.01,False,0.924531968449955,False,6.097429468450017,True,0.8863209397836163,22252502611282362722836616535222124555071018472020227405221424834675316026440,"US strikes Iran by June 30, 2026?",38.05
744,0.29083333333333333,0.036517291038669165,0.175,0.365,-3.0400952857971957,0.03131589957799495,True,0.3301131569623715,0.1,True,0.9273331726434507,False,6.219520122631933,True,0.886237708865296,103902113499316054236878785205953606217440054262030529293726164161466716924894,Will Wicked: For Good win Best Costume Design at the 98th Academy Awards?,20.59
744,0.08796639784946236,0.04201664032789707,0.019,0.14,-0.763168038698158,0.8297025470591566,False,3.452795394926605,0.01,False,0.9193285191865523,False,254.42326992574522,True,0.9937090076446092,75620463906310378907835458600139530124161437071864077062876843970227219545177,Will PUSC win the most seats in the 2026 Costa Rican Legislative Assembly election?,26.42
744,0.4913306451612903,0.012841185697644966,0.47,0.525,0.06946037500064461,0.9639130863670233,False,3.7535756898946246,0.01,False,0.9263447040702361,False,47.050810869366416,True,0.9786562790538393,1246864710804983890692377994891598401616546411512113588399830364959833951829,Will the Democrats win the Nevada governor race in 2026?,0.74
133,0.44612781954887215,0.06062834066868491,0.305,0.535,-0.6630367713947442,0.8560929877321297,False,1.4350351228957328,0.01,False,0.8667357581859968,False,11.024333131790327,True,0.910982516105416,8849067786075182073179637503194186922065077005754410363658650282678689925939,Will Google (GOOGL) finish week of December 29 above $315?,46.48
744,0.14488575268817205,0.012663728205701079,0.12,0.19,-1.704977360614007,0.4285498328383025,False,0.9949888724873422,0.01,False,0.8767809171046399,False,18.561001123164136,True,0.961832119359129,112949654903647315213371877531067192597006969794212274829733372032392865338042,Will the Eagles win the 2026 NFC Championship?,11.88
744,0.7704368279569893,0.01747629081000249,0.695,0.82,-4.06174295651814,0.0011195703921329887,True,0.49111383202675735,0.04366805584982943,False,0.9159622010605373,False,16.700015166860908,True,0.95840760807082,92576281548134350814800877416860562553699794074017301653635964206220838638047,Will the Republicans win the Nebraska Senate race in 2026?,8.56
