total_trades,total_pnl,win_rate,avg_trade_pnl,max_drawdown,sharpe_ratio,token_id,hurst_exponent,half_life
14,0.022,0.5714285714285714,0.0015714285714285713,0.004,5.359045249158086,32701718299480152694441167155024693623658675577469293314015974008998972377625,0.9587471673518552,13.400147914455316
2,-0.01400000000000001,0.5,-0.007000000000000005,0.017000000000000015,-6.500648408560896,27317168913038862638511498110536244347387854028485979359185236924713398325828,0.9942722756161363,5.441582571260291
3,0.11399999999999999,0.6666666666666666,0.038,0.007000000000000006,11.827726231900106,54393920537514140480129032575334060881130841327524939366867672655564188304981,0.8859519577860695,2.234640115013677
16,-0.05050000000000009,0.1875,-0.0031562500000000045,0.05050000000000009,-9.069925806251677,62553349979566496482940945205913747603796814089470596730050816053019691753805,0.8698720398137114,774.7717362081738
7,0.011000000000000022,0.7142857142857143,0.0015714285714285745,0.004,5.28242033716967,5210147086444382339849101722545511095151948730486562412029285471203011774407,0.9189771178429258,46.84252841604378
16,-0.4169999999999999,0.375,-0.026062499999999995,0.4169999999999999,-6.377615882736009,21820831062008538748141247411218227574369608245896609859008771625480147552641,0.9335332120450226,35.30775362482679
5,0.005000000000000013,0.6,0.0010000000000000026,0.0070000000000000045,2.780590906612881,9607569181854960598176506199462903356379518667846155862297009904553986207588,0.8696774982558365,22.873856958478193
6,0.0005000000000000109,0.6666666666666666,8.333333333333515e-05,0.014500000000000002,0.3013815745155741,42939981688349061268333432813952075168768616117092661372077156499295424426730,0.823219597402645,36.76508000458865
23,1.104,0.8260869565217391,0.048,0.046999999999999986,10.453265791590548,32525717559923218687592686736679202480264148973892124810901742852653700712203,0.8949596515554895,6.433915648316876
8,-0.04600000000000004,0.375,-0.005750000000000004,0.049000000000000044,-4.709810058697845,1906368150829335819562722707486252746541412478841929346643717864795046549074,0.8901980951494137,8.580871445762194
6,-0.11200000000000002,0.3333333333333333,-0.018666666666666668,0.11200000000000002,-8.678544503020776,22252502611282362722836616535222124555071018472020227405221424834675316026440,0.924531968449955,6.097429468450017
27,0.666,0.8518518518518519,0.024666666666666667,0.08399999999999996,11.14453210539775,103902113499316054236878785205953606217440054262030529293726164161466716924894,0.9273331726434507,6.219520122631933
19,0.032999999999999974,0.631578947368421,0.0017368421052631575,0.021000000000000005,4.385121169721325,75620463906310378907835458600139530124161437071864077062876843970227219545177,0.9193285191865523,254.42326992574522
12,0.04100000000000004,0.6666666666666666,0.0034166666666666707,0.006000000000000005,7.535659262107367,1246864710804983890692377994891598401616546411512113588399830364959833951829,0.9263447040702361,47.050810869366416
8,0.249,1.0,0.031125,0.0,16.43295524617628,8849067786075182073179637503194186922065077005754410363658650282678689925939,0.8667357581859968,11.024333131790327
23,0.11399999999999993,0.6956521739130435,0.0049565217391304315,0.020000000000000018,7.541603608022033,112949654903647315213371877531067192597006969794212274829733372032392865338042,0.8767809171046399,18.561001123164136
18,0.009000000000000018,0.3888888888888889,0.0005000000000000016,0.038000000000000034,0.5972200491938399,92576281548134350814800877416860562553699794074017301653635964206220838638047,0.9159622010605373,16.700015166860908
6,-0.04200000000000003,0.3333333333333333,-0.007000000000000005,0.04200000000000004,-3.4635610306608013,17781069937970314001472355582427331102577624490515546410398313363226785264562,0.9612681727450736,193.46814248379061
10,1.734723475976807e-17,0.4,1.734723475976807e-18,0.012,7.81703827685926e-15,88282648457965528806854319312793682626904719783654676743344032955938788705460,1.075418955629836,12.469529986679813
21,-0.06700000000000003,0.47619047619047616,-0.0031904761904761915,0.11399999999999999,-1.8874229352676413,99658270261829491713660585297869579888803126817417167959650248677262260479153,0.8990713158599591,58.500171649063184
2,-0.014000000000000009,0.0,-0.0070000000000000045,0.014000000000000009,-4.272001872658765,62521283606306165995982171491508257213589556958812396623175636747142026285766,1.0731618570884434,3.688407231891482
26,0.027999999999999706,0.6153846153846154,0.0010769230769230652,0.1170000000000001,0.8448320227230889,112838095111461683880944516726938163688341306245473734071798778736646352193304,0.9365203633495706,140.3427387313628
28,0.4900000000000001,0.8214285714285714,0.017500000000000005,0.006000000000000005,12.501744714343266,14207398074797097904509652291174223604740698938626683980943470911075936562900,0.9625251819569328,11.03699220167409
9,-0.04800000000000015,0.4444444444444444,-0.0053333333333333505,0.05800000000000005,-5.199276321189862,114910589159684665044565751027995575029406280335734462486947607603120908452730,0.8922886976456671,25.28452512585431
9,0.26199999999999984,0.6666666666666666,0.029111111111111095,0.049000000000000044,6.660052690827947,54873330395361433823182708779070904336357738482080967165626657113477923000958,0.9104642841583996,29.75617075992616
22,-0.05250000000000001,0.2727272727272727,-0.0023863636363636366,0.06600000000000003,-6.7029434583979866,91844810080062648436529776287166848099843976612137997296770938567257266660379,0.9516471398012314,24.446427684281307
17,0.12100000000000005,0.5882352941176471,0.007117647058823532,0.0040000000000000036,6.001429786738161,83252879632501781859698316188750341021075091060078102880613132675338807677948,0.8769278762213941,28.98662595091584
3,-0.006,0.0,-0.002,0.006,-6.438253187080046,73279799627278391207319976538641924000141782801983192127381320733564458145404,0.9670666154265647,3.9761867688258667
14,0.5919999999999999,0.7142857142857143,0.042285714285714274,0.05199999999999999,9.79324168878395,15768454938835109453170507320061782116509677127457387299988068900261245833755,0.8383988276166918,16.71320315656442
7,0.15600000000000003,0.5714285714285714,0.02228571428571429,0.013999999999999957,10.731809942016405,56776530500098671171599967061469723260468860745199222945635902233837891265650,1.0024350314508714,24.585604077699564
26,0.1279999999999999,0.7307692307692307,0.00492307692307692,0.062000000000000055,5.023148811496555,68639196051170795150992485552561385006521521637825690332014642323694437969760,0.9457206849359173,42.23962978041835
